time grd_truth(x) grd_truth(y) grd_truth(vx) grd_truth(vy) est(x) est(y) est(vx) est(vy) RMSE(x) RMSE(y) RMSE(vx) RMSE(vy) x(x) x(y) x(v) x(yaw) x(yawd) P(0,0) P(0,1) P(0,2) P(0,3) P(0,4) P(1,0) P(1,1) P(1,2) P(1,3) P(1,4) P(2,0) P(2,1) P(2,2) P(2,3) P(2,4) P(3,0) P(3,1) P(3,2) P(3,3) P(3,4) P(4,0) P(4,1) P(4,2) P(4,3) P(4,4)
1477010443600000 3.71772 0.62913 5.18754 0.139576 3.69441 0.452408 5.14142 -1.39648 3.69441 0.452408 5.3277 -0.265214 0.114004 0.065236 0.910911 1.48353 -0.98204 0.00398491 -3.68358e-05 0.00475664 -0.000422278 0.000639612 -3.68358e-05 0.00711198 -0.00258636 0.00825258 0.0230452 0.00475664 -0.00258636 0.025205 -0.00471303 -0.0171159 -0.000422278 0.00825258 -0.00471303 0.0137497 0.0462462 0.000639612 0.0230452 -0.0171159 0.0462462 0.176759
1477010443650000 3.97708 0.636689 5.18519 0.162724 3.97818 0.537552 5.30501 -0.643182 3.97818 0.537552 5.34385 -0.120652 0.109857 0.0682186 0.878359 1.4457 -0.446594 0.00401704 1.29581e-05 0.00457779 -0.000243804 0.000742381 1.29581e-05 0.00603147 -0.00344042 0.00608751 0.0151075 0.00457779 -0.00344042 0.0239723 -0.00559346 -0.0187816 -0.000243804 0.00608751 -0.00559346 0.00940415 0.0293504 0.000742381 0.0151075 -0.0187816 0.0293504 0.10705
1477010443700000 4.23632 0.645449 5.18256 0.187614 4.25287 0.52622 5.30736 -0.640187 4.25287 0.52622 5.34583 -0.120043 0.106218 0.0727408 0.849187 1.41294 -0.38912 0.00375627 -1.7743e-06 0.00467615 -9.62359e-05 0.000785388 -1.7743e-06 0.00705335 -0.00357471 0.00685555 0.0162642 0.00467615 -0.00357471 0.0244782 -0.0049218 -0.0152131 -9.62359e-05 0.00685555 -0.0049218 0.00956464 0.0275271 0.000785388 0.0162642 -0.0152131 0.0275271 0.0914345
1477010443750000 4.49542 0.655498 5.17962 0.214238 4.51568 0.560077 5.28832 -0.412986 4.51568 0.560077 5.30442 -0.0779358 0.10297 0.0743612 0.822671 1.37703 -0.252341 0.00380688 -1.7189e-05 0.00444584 -0.000109572 0.000487944 -1.7189e-05 0.00709873 -0.00365964 0.00646747 0.0144434 0.00444584 -0.00365964 0.0218388 -0.00475827 -0.0137154 -0.000109572 0.00646747 -0.00475827 0.00842012 0.0227645 0.000487944 0.0144434 -0.0137154 0.0227645 0.071615
1477010443800000 4.75437 0.666921 5.17634 0.242587 4.70925 0.66034 5.16239 0.085738 4.70925 0.66034 5.1631 0.0166067 0.100493 0.0721586 0.798115 1.33646 -0.0353645 0.00360691 -5.81682e-05 0.00458947 -8.08813e-05 0.000353118 -5.81682e-05 0.00756855 -0.00337117 0.00657301 0.0139198 0.00458947 -0.00337117 0.0224564 -0.00393407 -0.0106454 -8.08813e-05 0.00657301 -0.00393407 0.00798246 0.0202578 0.000353118 0.0139198 -0.0106454 0.0202578 0.0601757
1477010443850000 5.01315 0.679804 5.1727 0.272649 4.96299 0.656182 5.12178 0.0347728 4.96299 0.656182 5.1219 0.00678911 0.0983752 0.0703463 0.775721 1.30001 -0.0507155 0.00366951 -8.85523e-05 0.00436334 -0.000144192 7.3921e-05 -8.85523e-05 0.00774287 -0.00278608 0.00642496 0.0128981 0.00436334 -0.00278608 0.0194844 -0.0031904 -0.00813265 -0.000144192 0.00642496 -0.0031904 0.00741046 0.0178025 7.3921e-05 0.0128981 -0.00813265 0.0178025 0.0507021
1477010443900000 5.27175 0.694234 5.16867 0.304413 5.26499 0.651919 5.18349 -0.005269 5.26499 0.651919 5.18349 -0.0010165 0.0957639 0.0691548 0.755039 1.26733 -0.0576615 0.00350721 -0.000175956 0.00453341 -0.00020706 -0.000162808 -0.000175956 0.0077089 -0.00235561 0.00612379 0.0116781 0.00453341 -0.00235561 0.0205136 -0.00255453 -0.00620033 -0.00020706 0.00612379 -0.00255453 0.00677894 0.0155368 -0.000162808 0.0116781 -0.00620033 0.0155368 0.0430192
1477010443950000 5.53013 0.710295 5.16422 0.337868 5.52476 0.658299 5.22334 0.0174331 5.52476 0.658299 5.22337 0.00333753 0.0933469 0.0683992 0.73604 1.23732 -0.0437043 0.0035842 -0.000211022 0.00432634 -0.000249661 -0.000304589 -0.000211022 0.00815904 -0.00220936 0.00620196 0.0112898 0.00432634 -0.00220936 0.0183549 -0.0023222 -0.00531833 -0.000249661 0.00620196 -0.0023222 0.0064741 0.0141435 -0.000304589 0.0112898 -0.00531833 0.0141435 0.0380332
1477010444000000 5.78828 0.728072 5.15932 0.372999 5.8207 0.673655 5.26611 0.0588566 5.8207 0.673655 5.26644 0.011176 0.0913715 0.0677988 0.71868 1.20945 -0.0252201 0.0034395 -0.000234073 0.00446678 -0.000246269 -0.000331436 -0.000234073 0.00783427 -0.00180065 0.00569416 0.00991701 0.00446678 -0.00180065 0.0195733 -0.00180945 -0.0039852 -0.000246269 0.00569416 -0.00180945 0.0057677 0.0122247 -0.000331436 0.00991701 -0.0039852 0.0122247 0.0328568
1477010444050000 6.04618 0.747647 5.15393 0.409793 6.06456 0.599062 5.20542 -0.234963 6.06456 0.599062 5.21072 -0.0451074 0.0893567 0.0734251 0.702242 1.18961 -0.119005 0.00352479 -0.00028341 0.00427644 -0.000291625 -0.000440133 -0.00028341 0.00851741 -0.00175847 0.0059422 0.00996391 0.00427644 -0.00175847 0.0176845 -0.00170665 -0.00357041 -0.000291625 0.0059422 -0.00170665 0.00566217 0.0115365 -0.000440133 0.00996391 -0.00357041 0.0115365 0.0304178
1477010444100000 6.30379 0.769103 5.14803 0.448233 6.32332 0.713436 5.18841 0.176133 6.32332 0.713436 5.1914 0.0339343 0.0874873 0.0727432 0.686858 1.16484 0.0183558 0.00338534 -0.00021361 0.00439562 -0.000198956 -0.000269149 -0.00021361 0.00789379 -0.00142459 0.00528781 0.00854329 0.00439562 -0.00142459 0.019025 -0.00130558 -0.00264609 -0.000198956 0.00528781 -0.00130558 0.00497451 0.00999733 -0.000269149 0.00854329 -0.00264609 0.00999733 0.0269548
1477010444150000 6.5611 0.792523 5.14157 0.488305 6.57486 0.745775 5.15259 0.256545 6.57486 0.745775 5.15898 0.0497483 0.0856913 0.0718481 0.6724 1.1413 0.0412362 0.00347529 -0.000273881 0.00421556 -0.000255851 -0.000388512 -0.000273881 0.00866932 -0.0013494 0.00562189 0.00882016 0.00421556 -0.0013494 0.0172506 -0.00121927 -0.00236913 -0.000255851 0.00562189 -0.00121927 0.00501455 0.00976942 -0.000388512 0.00882016 -0.00236913 0.00976942 0.0259613
1477010444200000 6.81808 0.817988 5.13452 0.52999 6.82493 0.743812 5.14665 0.21947 6.82493 0.743812 5.15133 0.0426175 0.0839711 0.0719427 0.658819 1.11996 0.027247 0.0033553 -0.000281458 0.00436677 -0.000260797 -0.000403141 -0.000281458 0.00783486 -0.00099891 0.00491318 0.00748374 0.00436677 -0.00099891 0.0186775 -0.000921696 -0.00173408 -0.000260797 0.00491318 -0.000921696 0.00440473 0.00858866 -0.000403141 0.00748374 -0.00173408 0.00858866 0.0236688
1477010444250000 7.07469 0.845578 5.12685 0.573269 7.06915 0.727317 5.07306 0.133055 7.06915 0.727317 5.07481 0.0262216 0.0823476 0.0742603 0.646111 1.1016 -0.000942266 0.00345006 -0.000349103 0.00419295 -0.000314971 -0.000499497 -0.000349103 0.00871376 -0.00097902 0.00532995 0.00795624 0.00419295 -0.00097902 0.0170013 -0.000892327 -0.00162858 -0.000314971 0.00532995 -0.000892327 0.00455112 0.00865564 -0.000499497 0.00795624 -0.00162858 0.00865564 0.023483
1477010444300000 7.3309 0.875373 5.11851 0.618123 7.29186 0.81325 5.01824 0.373025 7.29186 0.81325 5.03208 0.0741974 0.0811569 0.0738463 0.634327 1.08204 0.0693434 0.00333148 -0.00029658 0.00433885 -0.000267622 -0.000411334 -0.00029658 0.00774938 -0.000713836 0.00461701 0.00674114 0.00433885 -0.000713836 0.0184778 -0.000668438 -0.00117812 -0.000267622 0.00461701 -0.000668438 0.00402443 0.00774805 -0.000411334 0.00674114 -0.00117812 0.00774805 0.0219288
1477010444350000 7.58668 0.907449 5.10946 0.664531 7.58354 0.824583 5.12676 0.371503 7.58354 0.824583 5.1402 0.0723371 0.0796967 0.0741874 0.622905 1.06398 0.0621311 0.00342952 -0.000374419 0.00416363 -0.000330857 -0.000516916 -0.000374419 0.00867425 -0.00061928 0.00508753 0.00733741 0.00416363 -0.00061928 0.0168297 -0.000599256 -0.00102452 -0.000330857 0.00508753 -0.000599256 0.00425288 0.00801433 -0.000516916 0.00733741 -0.00102452 0.00801433 0.0222173
1477010444400000 7.84199 0.941886 5.09966 0.712469 7.83613 0.80155 5.12904 0.264652 7.83613 0.80155 5.13587 0.051553 0.0783181 0.0774151 0.612096 1.04878 0.0282286 0.00331918 -0.00033972 0.00431728 -0.000309408 -0.00047884 -0.00033972 0.00767935 -0.000392836 0.00440704 0.00626475 0.00431728 -0.000392836 0.0183431 -0.000441059 -0.000718013 -0.000309408 0.00440704 -0.000441059 0.00379156 0.00728755 -0.00047884 0.00626475 -0.000718013 0.00728755 0.0210911
